radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,255,3,29200,9111,0,31.312324,51.512665,3251,130,1,1330162260,1351214973,0
GSM,255,3,29200,8052,0,31.316819,51.511085,3669,66,1,1330162260,1351214972,0
GSM,255,3,29200,28021,0,31.287142,51.49239,4071,9,1,1330162260,1351291557,0
GSM,255,3,29200,92,0,31.317314,51.51289,3445,97,1,1330163645,1351218917,0
GSM,255,3,29200,9082,0,31.313725,51.512271,3562,122,1,1330163645,1351290823,0
GSM,255,3,29200,9123,0,31.29014,51.498855,2678,28,1,1330163645,1351215272,0
GSM,255,3,29200,8063,0,31.311838,51.510087,2935,47,1,1330703326,1351218317,0
GSM,255,3,29200,9083,0,31.31572,51.512219,3523,362,1,1331310813,1351218917,0
GSM,255,3,29200,8092,0,31.317643,51.512747,2531,16,1,1331313290,1351218617,0
GSM,255,3,29200,9071,0,31.272565,51.526337,9578,60,1,1332140505,1350873215,0
GSM,255,3,29200,71,0,31.292112,51.510912,4565,25,1,1332140586,1350891031,0
GSM,255,3,29200,18072,0,31.28792,51.518786,2223,3,1,1332140586,1348965814,0
GSM,255,3,29200,9072,0,31.281574,51.518358,4677,44,1,1332140586,1350873517,0
GSM,255,3,29200,10073,0,31.278887,51.521154,4496,34,1,1332141465,1350873217,0
GSM,255,3,29200,9073,0,31.276802,51.517247,1788,14,1,1332141465,1349841810,0
GSM,255,3,29200,9113,0,31.285935,51.502152,2279,9,1,1332141773,1350873517,0
GSM,255,3,29200,141,0,31.277273,51.523659,9011,34,1,1332142347,1350873217,0
GSM,255,3,29200,10072,0,31.288279,51.512783,10464,27,1,1332142347,1350873217,0
GSM,255,3,29200,9273,0,31.276019,51.521122,4246,28,1,1332142347,1350873217,0
GSM,255,3,29200,73,0,31.284463,51.520913,5455,34,1,1332142347,1350872917,0
GSM,255,3,29200,8071,0,31.284649,51.4991,1580,7,1,1332142347,1350873515,0
GSM,255,3,29200,72,0,31.283495,51.506884,4259,9,1,1332142347,1350872917,0
GSM,255,3,29200,8033,0,31.288169,51.495633,2321,40,1,1332142347,1351218017,0
GSM,255,3,29200,9122,0,31.288735,51.495154,3750,103,1,1332144390,1351291092,0
GSM,255,3,29200,8032,0,31.291496,51.494065,1833,33,1,1332144674,1351215571,0
GSM,255,3,29200,33,0,31.288221,51.497494,7179,53,1,1332144963,1351218017,0
GSM,255,3,29200,31,0,31.295831,51.49827,2798,86,1,1332144963,1351291092,0
GSM,255,3,29200,8031,0,31.298253,51.498746,2222,31,1,1332144963,1351215272,0
GSM,255,3,29200,9091,0,31.284255,51.496903,2339,15,1,1332144963,1349845664,0
GSM,255,3,29200,9092,0,31.28667,51.494081,3564,29,1,1332144963,1351054065,0
GSM,255,3,29200,8262,0,31.30374,51.502441,3404,37,1,1332145050,1351291092,0
GSM,255,3,29200,9012,0,31.307533,51.513154,2823,60,1,1332145211,1351218386,0
GSM,255,3,29200,32,0,31.28878,51.493358,4226,44,1,1332145840,1351291392,0
GSM,255,3,29200,13,0,31.295743,51.495182,4798,41,1,1332145840,1351215572,0
GSM,255,3,29200,8013,0,31.299551,51.497346,2597,36,1,1332145840,1350890084,0
GSM,255,3,29200,63,0,31.30192,51.504335,3482,37,1,1332145840,1351215272,0
GSM,255,3,29200,8263,0,31.30386,51.503983,3537,18,1,1332145840,1351291091,0
GSM,255,3,29200,1043,0,31.32521,51.51714,11845,45,1,1332317930,1350720451,0
GSM,255,3,29200,9041,0,31.413047,51.543603,18121,23,1,1332390885,1349908885,0
GSM,255,3,29200,193,0,31.419515,51.543449,13183,25,1,1332391201,1349908886,0
GSM,255,3,29200,692,0,31.535885,51.625361,12569,31,1,1332391740,1349909787,0
GSM,255,3,29200,203,0,31.500445,51.587875,7873,11,1,1332391807,1346279944,0
GSM,255,3,29200,1041,0,31.393066,51.530127,7433,12,1,1332391812,1349908886,0
GSM,255,3,29200,1051,0,31.37386,51.524411,9462,19,1,1332391812,1351055565,0
GSM,255,3,29200,51,0,31.428309,51.553123,16095,22,1,1332391812,1349909186,0
GSM,255,3,29200,4163,0,31.435957,51.482458,16694,22,1,1332391812,1349596465,0
GSM,255,3,29200,222,0,31.317817,51.711898,32889,17,1,1332391812,1349909486,0
GSM,255,3,29200,192,0,31.420711,51.480693,22551,14,1,1332391812,1349597065,0
GSM,255,3,29200,691,0,31.609226,51.712201,19207,31,1,1332392407,1352334089,0
GSM,255,3,29200,212,0,31.601859,51.774327,8650,29,1,1332392663,1356565882,0
GSM,255,3,29200,191,0,31.493616,51.588687,13020,18,1,1332392708,1349909185,0
GSM,255,3,29200,201,0,31.55216,51.609844,10794,11,1,1332392708,1346280245,0
GSM,255,3,29200,2163,0,31.516296,51.548083,13163,3,1,1332392708,1349909186,0
GSM,255,3,29200,693,0,31.47478,51.683244,29542,32,1,1332392708,1349910387,0
GSM,255,3,29200,4232,0,31.223983,51.675709,23817,41,1,1332392708,1349079534,0
GSM,255,3,29200,221,0,31.59965,51.802075,10864,21,1,1332392708,1349910987,0
GSM,255,3,29200,213,0,31.625377,51.849951,15623,30,1,1332393308,1356565884,0
GSM,255,3,29200,211,0,31.602979,51.818161,10013,24,1,1332393603,1349910987,0
GSM,255,3,29200,513,0,31.617537,51.698641,20125,21,1,1332393603,1349910387,0
GSM,255,3,29200,482,0,31.60988,51.888892,8289,61,1,1332393607,1354148747,0
GSM,255,3,29200,481,0,31.648053,51.895333,13939,64,1,1332394207,1349921925,0
GSM,255,3,29200,2482,0,31.641222,51.893363,14351,61,1,1332394514,1349921925,0
GSM,255,3,29200,2472,0,31.639184,51.854594,39413,14,1,1332394514,1349922226,0
GSM,255,3,29200,483,0,31.609121,51.895882,3954,41,1,1332394514,1349921626,0
GSM,255,3,29200,2483,0,31.642268,51.898272,9226,56,1,1332394514,1349921925,0
GSM,255,3,29200,8481,0,31.63447,51.895993,13540,58,1,1332395408,1349921925,0
GSM,255,3,29200,8482,0,31.610879,51.891755,7186,38,1,1332396404,1349921626,0
GSM,255,3,29200,8483,0,31.610385,51.896237,3862,27,1,1332396404,1349921325,0
GSM,255,3,29200,2481,0,31.698221,51.894763,10055,30,1,1332396404,1349922226,0
GSM,255,3,29200,852,0,31.701936,51.89423,7181,7,1,1332405165,1348106932,0
GSM,255,3,65296,481,0,31.627578735352,51.901473999023,1000,1,1,1332385355,1332385355,0
GSM,255,3,29200,2473,0,31.780459,51.882521,8221,16,1,1332406966,1349922225,0
GSM,255,3,29200,851,0,31.717481,51.895144,4092,13,1,1332407048,1349921925,0
GSM,255,3,29100,8493,0,31.933391,51.823448,5703,22,1,1332407267,1334202523,0
GSM,255,3,29100,493,0,31.941079,51.817595,5898,25,1,1332407367,1334203745,0
GSM,255,3,29100,2492,0,31.901226,51.843804,5959,4,1,1332388055,1332388055,0
GSM,255,3,29100,2493,0,31.828079223633,51.872634887695,1000,1,1,1332387155,1332387155,0
GSM,255,3,29200,2471,0,31.919198,51.830696,9245,33,1,1332407984,1349922525,0
